day,date,daily_temp,liquid_temp,deposit_rate,scale,cycle,pump_current,cleaned,current_diff
0,2024-01-01,4.3136263493546965,4.3136263493546965,0.5368148332412348,0.5368148332412348,0,19.88688870740212,False,
1,2024-01-02,1.5561787506061053,7.118862647700132,0.47929210853829224,1.016106941779527,0,21.60217902894609,False,1.7152903215439679
2,2024-01-03,5.072371482848146,9.749391864783208,0.4270197291438139,1.4431266709233408,0,22.869781528372094,False,1.2676024994260047
3,2024-01-04,5.391307172521957,12.024634202333447,0.3805232277388723,1.8236498986622132,0,24.71825075069147,False,1.8484692223193768
4,2024-01-05,-0.4497793067574558,13.599343503708546,0.35357500852962553,2.177224907191839,0,25.808972263527487,False,1.0907215128360157
5,2024-01-06,0.7934672230120334,15.0290173246581,0.32857088232159554,0.0,1,18.206432684776818,True,-7.602539578750669
6,2024-01-07,3.6024801837391642,16.435031432947316,0.2914276007508422,0.2914276007508422,1,18.88211772697143,False,0.6756850421946119
7,2024-01-08,2.6667404282264986,17.58003168434083,0.27019728551596367,0.5616248862668058,1,20.033954933515652,False,1.1518372065442222
8,2024-01-09,3.2215167253884385,18.597124661781397,0.2498058649194655,0.8114307511862713,1,20.917085241602646,False,0.8831303080869937
9,2024-01-10,1.508404874436833,19.358790023454993,0.2355428291040122,1.0469735802902835,1,21.716055314925384,False,0.7989700733227387
10,2024-01-11,4.9361546686529305,20.23200139166054,0.21582375296325093,1.2627973332535345,1,22.585628046096968,False,0.8695727311715835
11,2024-01-12,5.130833660265658,20.99298335672611,0.2030916802752082,1.4658890135287428,1,23.367624518161207,False,0.7819964720642396
12,2024-01-13,3.6771937469078897,21.551805332352174,0.18979155391764377,1.6556805674463866,1,23.898008441323377,False,0.5303839231621694
13,2024-01-14,5.773019521815316,22.165527254132847,0.17872052880797593,1.8344010962543624,1,24.49642809058191,False,0.5984196492585347
14,2024-01-15,4.43049062293797,22.605269186445597,0.17062412439079458,2.005025220645157,1,24.900910906849553,False,0.4044828162676417
15,2024-01-16,1.3258369750182288,22.782605965347397,0.16497714141660488,2.170002362061762,1,25.25593000960068,False,0.35501910275112536
16,2024-01-17,3.7659379044859698,23.091472549871867,0.15886846845741748,0.0,2,17.991497287655072,True,-7.264432721945607
17,2024-01-18,1.0982330028802905,23.184720021503903,0.1594985285398186,0.1594985285398186,2,18.419947841967865,False,0.4284505543127928
18,2024-01-19,4.764011793738087,23.500303633743652,0.15147970708225222,0.31097823562207083,2,19.00698428850147,False,0.587036446533606
19,2024-01-20,2.9019261075180984,23.651098364406437,0.1489735168030267,0.45995175242509756,2,19.848908604351266,False,0.8419243158497949
20,2024-01-21,2.6302752729094787,23.7628877227497,0.1457164157808945,0.6056681682059921,2,20.48226342979929,False,0.6333548254480235
21,2024-01-22,1.6399188406827214,23.79504140211506,0.14448015569523828,0.7501483239012304,2,20.83433859442268,False,0.3520751646233897
